,ICL Prompt,ZSL Prompt,Answer
10,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Spotlight shines on quarterbacks They couldn't be more different. One is the prototype quarterback, seemingly built using the create-a-player function from a video game, standing tall in the pocket and firing laser beams across the field.
Category: Sports
News: Advice, facts a call away in Vietnam HANOI -- What's the best way to sue my neighbor? How big is Ho Chi Minh's mausoleum? Is surgery necessary to remove a bunion? Am I pregnant?
Category: World
News: Federal judge stays ruling in UPS case SAN FRANCISCO -- A federal judge on Monday stayed his own ruling that UPS must give deaf and hearing impaired workers the same opportunity as others to become truck drivers, allowing the company to appeal.
Category: Business
News: Hyatt to Buy AmeriSuites Hotel Chain  NEW YORK (Reuters) - Hyatt Corp. on Thursday said it agreed  to buy AmeriSuites, an upscale limited-service hotel chain that  it hopes will complement its full-service portfolio.
Category: Business
News: NOW IT #39;S SUED VAN NISTELROOY SIR ALEX FERGUSON has accused Arsene Wenger of having a  quot;mental problem quot; with Ruud van Nistelrooy after the Arsenal boss branded the United striker a cheat.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: NOW IT #39;S SUED VAN NISTELROOY SIR ALEX FERGUSON has accused Arsene Wenger of having a  quot;mental problem quot; with Ruud van Nistelrooy after the Arsenal boss branded the United striker a cheat.
Category:",Sports
11,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Trash Begins to Clutter International Space Station By MARCIA DUNN    CAPE CANAVERAL, Fla. (AP) -- There's no space in the space station...
Category: Technology
News: A-Rod #39;s magical moment YORK -- This is the night we saw beyond the dollar signs, the night Alex Rodriguez morphed from simply stylish to sublimely substantive.
Category: Sports
News: What The Papers Say...  #39;Michael Schumacher #39;s recent absence from top spot on the formula one rostrum may have lulled some of his opposition into believing the Ferrari driver was just a little too comfortable with life after clinching his all-time record seventh world 
Category: Sports
News: Bombardier CEO Quits, Shares Plunge  MONTREAL (Reuters) - Paul Tellier stepped down as president  and chief executive of Bombardier Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=BBDsvb.TO target=/stocks/quickinfo/fullquote""&gt;BBDsvb.TO&lt;/A&gt; &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=BBDb.TO target=/stocks/quickinfo/fullquote""&gt;BBDb.TO&lt;/A&gt;,  sending the train and plane maker's shares down as much as 26  percent to a 10-year low on Monday.
Category: Business
News: Cowboys Ride J. Jones Other running backs were ranked higher than Julius Jones in last April's draft and the Cowboys took heat for trading down and taking him. Now, minds are changing.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Cowboys Ride J. Jones Other running backs were ranked higher than Julius Jones in last April's draft and the Cowboys took heat for trading down and taking him. Now, minds are changing.
Category:",Sports
12,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: But seriously folks You want answers and you want them now. The only thing is, four weeks of ludicrous exhibition games haven't told you anything. So here's some advice: Take it slow, real slow.
Category: Sports
News: Oil Firm Near  #36;54 on Heating Fuel Worries (Reuters) Reuters - Oil prices rebounded to  #36;54 a barrel\on Thursday ahead of U.S. inventory data expected to show tight\heating fuel stocks ahead of winter.
Category: Business
News: Spectator Phelps' 8th Medal Ties Record ATHENS, Greece - Michael Phelps won another gold medal, this time wearing khaki shorts and flip-flops. From a front-row seat at the Olympic pool, Phelps watched his teammates do all the work in the 400-meter medley relay Saturday night...
Category: World
News: Latest front for US forces: rural Iraq Volatile and remote areas outside the Sunni triangle are now being scoured by US and Iraqi troops.
Category: World
News: ON SOCCER Beckham apologizes for intentional foul David Beckham #39;s remarkable goal in England #39;s 2-0 victory over Wales has been overshadowed by the controversy over whether he picked up a second yellow card on purpose.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: ON SOCCER Beckham apologizes for intentional foul David Beckham #39;s remarkable goal in England #39;s 2-0 victory over Wales has been overshadowed by the controversy over whether he picked up a second yellow card on purpose.
Category:",Sports
13,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Barcelona beats Albacete, opens nine-point lead FC Barcelona opened a 12-point lead in the Spanish league after Andres Iniesta and Xavi Hernandez scored in a 2-1 win at 17th-placed Albacete on Saturday.
Category: Sports
News: NASA Claims New Supercomputer Is World's Fastest The cluster of 20 computers working as one will be used to speed up spacecraft design, environmental prediction and other research.
Category: Technology
News: China targets more overseas acquisitions SINGAPOREChina #39;s plan to buy Canadian mining giant Noranda Inc. is just the beginning of an overseas acquisition march fuelled by swollen foreign exchange reserves and a need to secure natural resources.
Category: Business
News: Knauss Tests Positive for Nandrolone  VIENNA (Reuters) - Hans Knauss, one of the best known and  most experienced Austrian skiers, has tested positive for the  anabolic steroid nandrolone.
Category: Sports
News: Martyn continues his run feast Damien Martyn has made it back to back centuries against India as Australia looked to build a big first innings total in the third Test in Nagpur.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Martyn continues his run feast Damien Martyn has made it back to back centuries against India as Australia looked to build a big first innings total in the third Test in Nagpur.
Category:",Sports
14,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Suppan faces former team In 2003, Pedro Martinez and Jeff Suppan were teammates. Just one year later, both are in the Fall Classic and pitching against each other.
Category: Sports
News: Chelsea Ties Arsenal, 2-2 Chelsea #39;s Eidur Gudjohnsen celebrates after scoring during the Premiership game between Arsenal and Chelsea FC, London, Sunday Dec. 12, 2004.
Category: Sports
News: AOL Releases Netscape 7.2 Also included with 7.2 is an improved pop-up blocker which now stops more pop-ups than any previous version of Netscape, something only just apparent in some more widely used browsers, Netscape will even block mouse over pop-ups. 
Category: Technology
News: Tennis: Davenport reaches semis with win over Jankovic Lindsay Davenport reached her 12th semi-final of the year on Friday, with a 6-4, 6-3 win over Jelena Jankovic at the WTA Grand Prix event in Filderstadt, Germany.
Category: Sports
News: Body of Turk Engineer Found in Afghanistan KABUL, Afghanistan - The body of a kidnapped Turkish engineer was found in eastern Afghanistan on Wednesday, a day after he was snatched with his driver and interpreter by a band of armed men, officials said.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Body of Turk Engineer Found in Afghanistan KABUL, Afghanistan - The body of a kidnapped Turkish engineer was found in eastern Afghanistan on Wednesday, a day after he was snatched with his driver and interpreter by a band of armed men, officials said.
Category:",World
15,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: 3 Kidnapped UN Workers Are Released in Kabul The release of three United Nations workers who had been held hostage for more than three weeks took place early Tuesday in what appeared to be an orchestrated handover.
Category: World
News: Seats can fail in rear crashes That meathead tailgating you might pose more of a hazard that you think. Crash tests by insurance researchers have found that most cars don #39;t protect motorists very well against whiplash neck injuries in rear collisions.
Category: Technology
News: Offenses veer in 4th quarter ORCHARD PARK, N.Y. -- By the sheer numbers, they seemed equal enough. What separated them, like what has separated Drew Bledsoe and Tom Brady for most of their careers, had nothing to do with arm strength or raw talent.
Category: Sports
News: Abbey a step closer to takeover The hopes of Spain's largest bank to secure Abbey National have been given a boost after the City watchdog said it saw no reason to block the deal.
Category: Business
News: Condo Pandemonium Nothing makes New Yorkers pant like a luxury apartment, so when the city announced a few months ago that it would auction off seven high-end condos, a crowd was expected.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Condo Pandemonium Nothing makes New Yorkers pant like a luxury apartment, so when the city announced a few months ago that it would auction off seven high-end condos, a crowd was expected.
Category:",Business
16,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Crude climbs back above \$50 in Asia SINGAPORE -- Crude oil prices climbed back above the key \$50 mark in Asian trade today,creeping close to an all-time high. After settling at \$49.
Category: Business
News: Kmart Plucks New CEO from Yum (Reuters) Reuters - Kmart Holding Corp.  on Monday\said it appointed Aylwin Lewis president and chief executive\officer, effective immediately.
Category: Business
News: UPDATE 1-Celestica cuts 3rd qtr forecasts as orders drop Celestica Inc. (CLS.N: Quote, Profile, Research) (CLS.TO: Quote, Profile, Research) cut its third-quarter earnings forecast on Tuesday, triggering a selling spree in its shares.
Category: Business
News: UN Council Wants Sudan Peace Deal by End of Year (Reuters) Reuters - The U.N. Security Council, on a\high-profile visit to the Kenyan capital, expects Sudan and its\southern opposition on Thursday to promise to complete by Dec.\31 a comprehensive peace agreement ending a 21-year civil war.
Category: World
News: Volkswagen Reports Seventh Quarterly Profit Decline (Update4) Volkswagen AG, Europe #39;s largest carmaker, had a seventh consecutive decline in quarterly profit on higher sales incentives and the strength of the euro versus the dollar.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Volkswagen Reports Seventh Quarterly Profit Decline (Update4) Volkswagen AG, Europe #39;s largest carmaker, had a seventh consecutive decline in quarterly profit on higher sales incentives and the strength of the euro versus the dollar.
Category:",Business
17,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Beltre's slam lifts Dodgers Adrian Beltre hit a grand slam to become the first player to reach 40 home runs this year, and Alex Cora homered and had five RBIs to lead the Los Angeles Dodgers to a 10-2 rout of the Expos in Montreal.
Category: Sports
News: Rumsfeld doubts Saddam Laden link Donald Rumsfeld queries whether there were ever ties between Saddam Hussein and Osama Bin Laden.
Category: World
News: Brazil #39;s Lula Plans to End World Hunger Brazilian president Luiz Incio Lula da Silva declared that it is not going to be easy to convince all the participants at the UN meeting, formally known as the Action Against Hunger and Poverty, that financial mechanisms must be created to end the 
Category: World
News: German economic recovery slows down LONDON, November 11 (newratings.com) - Germany witnessed a slowdown in its economic growth momentum during the third quarter this year, with the nation #39;s GDP growth rate declining to 0.1 from the relatively robust growth rate of 0.4 in the first two 
Category: Business
News: Celtel set to list on London Stock Exchange (FT.com) FT.com - Celtel, a pan-African mobile phone operator, is to float on the London Stock Exchange early next year in a move that will value the stake of Mohamed Ibrahim, a former technical director of BT Cellnet and founder of the mobile group, at up to  pound;275m ( #36;496m).
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Celtel set to list on London Stock Exchange (FT.com) FT.com - Celtel, a pan-African mobile phone operator, is to float on the London Stock Exchange early next year in a move that will value the stake of Mohamed Ibrahim, a former technical director of BT Cellnet and founder of the mobile group, at up to  pound;275m ( #36;496m).
Category:",Technology
18,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Reports Point to Proof of Global Warming (AP) AP - Global warming has had little noticeable impact in Washington, D.C. Politicians in the nation's capital have been reluctant to set limits on the carbon dioxide pollution that is expected to warm the planet by 4 to 7 degrees Fahrenheit during the next century, citing uncertainty about the severity of the threat.
Category: Technology
News: Russia launches new space booster rocket MOSCOW: Russia launched a new-generation space booster rocket today in a move that could eventually help send civilian cargoes into space, Itar-Tass news agency reported.
Category: Technology
News: Siemens sets up 1Gbit/s wireless link Siemens has claimed a world first for its transmission of data at a rate of 1Gbit/s over a wireless link. To achieve this rate, which is 20 times faster than today #39;s 50Mbit/s wireless LANs, researchers at 
Category: Technology
News: US-Vietnam flight launched United Airlines (UA) on Thursday launched the first daily flight service to Vietnam from the United States since 1975. The flight represents the first such service by an American air carrier since the end 
Category: Business
News: Early sea spider flashes pincers Scientists reconstruct a sea spider from the faint imprint it left when it fossilised 425 million years ago.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Early sea spider flashes pincers Scientists reconstruct a sea spider from the faint imprint it left when it fossilised 425 million years ago.
Category:",Technology
19,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: AFC Enterprises to sell Cinnabon to Roark Capital AFC Enterprises Inc. plans to sell its Cinnabon subsidiary to Focus Brands Inc., an affiliate of Roark Capital Group, for \$30.3 million.
Category: Business
News: Investors Take a Holiday (Reuters) Reuters - Investors may pack up and leave town\this week as the Republican National Convention begins in New\York and many on Wall Street take vacation -- draining U.S.\markets of volume and leaving stocks with little direction.
Category: Business
News: UK no longer top asylum nation The UK has been replaced by France as the top destination for asylum seekers in the industrialised world, says the UN.
Category: World
News: No. 21 Wisconsin 81, Wis.-Parkside 42 Alando Tucker, who missed all but four games last season with a foot injury, scored 14 points and grabbed 10 rebounds to lead No. 21 Wisconsin to an 81-42 exhibition victory over Wisconsin-Parkside Wednesday night.
Category: Sports
News: Atkins Gets Tech-Savvy to Reach More Dieters  LOS ANGELES (Reuters) - U.S. dieters will soon be able to  count their carbs on mobile phones, the company behind the  Atkins Diet said on Thursday.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Atkins Gets Tech-Savvy to Reach More Dieters  LOS ANGELES (Reuters) - U.S. dieters will soon be able to  count their carbs on mobile phones, the company behind the  Atkins Diet said on Thursday.
Category:",Technology
20,"Classify the news articles into the categories of World, Sports, Business, and Technology.
News: China Colliery Accidents Kill 5,286 Miners This Year  BEIJING (Reuters) - Colliery accidents in China killed  5,286 miners in the first 11 months of the year, but the  government cast the figure in a positive light, saying it was  at an all-time low relative to production.
Category: World
News: Biathlon stars gather at Holmenkollen Norway #39;s biathlon queen lost more grip on her reign Thursday. The world #39;s top biathlon athletes gathered in Oslo for World Cup competition due to last through the weekend.
Category: Sports
News: CL Preview: Bayern host Juventus, Ajax face Maccabi Tel Aviv MUNICH/TEL AVIV, Nov 2 (SW) - Bayern Munich aim to take three points against Juventus on Wednesday, while Ajax Amsterdam travel to Israel to face Maccabi Tel Aviv in an attempt to stay in the race for the second round.
Category: Sports
News: Added Cargo Flights to Cut Down on Risky Truck Convoys The Air Force is expanding its airlift of equipment to Iraq to reduce the amount of military cargo hauled over land routes.
Category: World
News: Racketeering case against tobacco industry to begin WASHINGTON -- It has taken five years of pretrial skirmishing, but testimony will finally begin tomorrow in the government's massive racketeering case alleging that the tobacco industry defrauded and misled the American public for almost 50 years about the health risks of cigarette smoking.
Category:","Classify the news articles into the categories of World, Sports, Business, and Technology.
News: Racketeering case against tobacco industry to begin WASHINGTON -- It has taken five years of pretrial skirmishing, but testimony will finally begin tomorrow in the government's massive racketeering case alleging that the tobacco industry defrauded and misled the American public for almost 50 years about the health risks of cigarette smoking.
Category:",Business
